,task,start,end
625,进车台位1号,10677,10678
626,粘接预装台位29号,10698,10700
627,进车台位1号,10701,10703
628,粘接预装台位33号,10723,10725
629,进车台位1号,10725,10728
630,粘接预装台位29号,10748,10750
631,粘接预装台位33号,10773,10777
632,模块化组装7号,10780,10781
633,普通组装2类(BC车)26号,10804,10805
634,粘接预装台位33号,10842,10843
635,进车台位1号,10845,10846
636,粘接预装台位29号,10866,10868
637,进车台位1号,10869,10871
638,粘接预装台位33号,10891,10893
639,进车台位1号,10893,10896
640,粘接预装台位29号,10916,10918
641,粘接预装台位33号,10941,10945
642,模块化组装7号,10948,10949
643,普通组装2类(BC车)16号,10972,10973
644,粘接预装台位33号,11010,11011
645,进车台位1号,11013,11014
646,粘接预装台位29号,11034,11036
647,进车台位1号,11037,11039
648,粘接预装台位33号,11059,11061
649,进车台位1号,11061,11064
650,粘接预装台位29号,11084,11086
651,粘接预装台位33号,11109,11113
652,模块化组装7号,11116,11117
653,普通组装2类(BC车)23号,11140,11141
654,粘接预装台位33号,11178,11179
655,进车台位1号,11181,11182
656,粘接预装台位29号,11202,11204
657,进车台位1号,11205,11207
658,粘接预装台位33号,11227,11229
659,进车台位1号,11229,11232
660,粘接预装台位29号,11252,11254
661,粘接预装台位33号,11277,11281
662,模块化组装7号,11284,11285
663,普通组装2类(BC车)35号,11308,11309
664,粘接预装台位33号,11346,11347
665,进车台位1号,11349,11350
666,粘接预装台位29号,11370,11372
667,进车台位1号,11373,11375
668,粘接预装台位33号,11395,11397
669,进车台位1号,11397,11400
670,粘接预装台位29号,11420,11422
671,粘接预装台位33号,11445,11449
672,模块化组装7号,11452,11453
673,普通组装2类(BC车)18号,11476,11477
674,粘接预装台位33号,11514,11515
675,进车台位1号,11517,11518
676,粘接预装台位29号,11538,11540
677,进车台位1号,11541,11543
678,粘接预装台位33号,11563,11565
679,进车台位1号,11565,11568
680,粘接预装台位29号,11588,11590
681,粘接预装台位33号,11613,11617
682,模块化组装7号,11620,11621
683,普通组装2类(BC车)24号,11644,11645
684,粘接预装台位33号,11682,11683
685,进车台位1号,11685,11686
686,粘接预装台位29号,11706,11708
687,进车台位1号,11709,11711
688,粘接预装台位33号,11731,11733
689,进车台位1号,11733,11736
690,粘接预装台位29号,11756,11758
691,粘接预装台位33号,11781,11785
692,模块化组装7号,11788,11789
693,普通组装2类(BC车)12号,11812,11813
694,粘接预装台位33号,11850,11851
695,进车台位1号,11853,11854
696,粘接预装台位29号,11874,11876
697,进车台位1号,11877,11879
698,粘接预装台位33号,11899,11901
699,进车台位1号,11901,11904
700,粘接预装台位29号,11924,11926
701,粘接预装台位33号,11949,11953
702,模块化组装7号,11956,11957
703,普通组装2类(BC车)20号,11980,11981
704,粘接预装台位33号,12018,12019
705,进车台位1号,12021,12022
706,粘接预装台位29号,12042,12044
707,进车台位1号,12045,12047
708,粘接预装台位33号,12067,12069
709,进车台位1号,12069,12072
710,粘接预装台位29号,12092,12094
711,粘接预装台位33号,12117,12121
712,模块化组装7号,12124,12125
713,普通组装2类(BC车)25号,12148,12149
714,粘接预装台位33号,12186,12187
715,进车台位1号,12189,12190
716,粘接预装台位29号,12210,12212
717,进车台位1号,12213,12215
718,粘接预装台位33号,12235,12237
719,进车台位1号,12237,12240
720,粘接预装台位29号,12260,12262
721,粘接预装台位33号,12285,12289
722,模块化组装7号,12292,12293
723,普通组装2类(BC车)14号,12316,12317
724,粘接预装台位33号,12354,12355
725,进车台位1号,12357,12358
726,粘接预装台位29号,12378,12380
727,进车台位1号,12381,12383
728,粘接预装台位33号,12403,12405
729,进车台位1号,12405,12408
730,粘接预装台位29号,12428,12430
731,粘接预装台位33号,12453,12457
732,模块化组装7号,12460,12461
733,普通组装2类(BC车)22号,12484,12485
734,粘接预装台位33号,12522,12523
735,进车台位1号,12525,12526
736,粘接预装台位29号,12546,12548
737,进车台位1号,12549,12551
738,粘接预装台位33号,12571,12573
739,进车台位1号,12573,12576
740,粘接预装台位29号,12596,12598
741,粘接预装台位33号,12621,12625
742,模块化组装7号,12628,12629
743,普通组装2类(BC车)26号,12652,12653
744,粘接预装台位33号,12690,12691
745,进车台位1号,12693,12694
746,粘接预装台位29号,12714,12716
747,进车台位1号,12717,12719
748,粘接预装台位33号,12739,12741
749,进车台位1号,12741,12744
750,粘接预装台位29号,12764,12766
751,粘接预装台位33号,12789,12793
752,模块化组装7号,12796,12797
753,普通组装2类(BC车)16号,12820,12821
754,粘接预装台位33号,12858,12859
755,进车台位1号,12861,12862
756,粘接预装台位29号,12882,12884
757,进车台位1号,12885,12887
758,粘接预装台位33号,12907,12909
759,进车台位1号,12909,12912
760,粘接预装台位29号,12932,12934
761,粘接预装台位33号,12957,12961
762,模块化组装7号,12964,12965
763,普通组装2类(BC车)23号,12988,12989
764,粘接预装台位33号,13026,13027
765,进车台位1号,13029,13030
766,粘接预装台位29号,13050,13052
767,进车台位1号,13053,13055
768,粘接预装台位33号,13075,13077
769,进车台位1号,13077,13080
770,粘接预装台位29号,13100,13102
771,粘接预装台位33号,13125,13129
772,模块化组装7号,13132,13133
773,普通组装2类(BC车)35号,13156,13157
774,粘接预装台位33号,13194,13195
775,进车台位1号,13197,13198
776,粘接预装台位29号,13218,13220
777,进车台位1号,13221,13223
778,粘接预装台位33号,13243,13245
779,进车台位1号,13245,13248
780,粘接预装台位29号,13268,13270
781,粘接预装台位33号,13293,13297
782,模块化组装7号,13300,13301
783,普通组装2类(BC车)18号,13324,13325
784,粘接预装台位33号,13362,13363
785,进车台位1号,13365,13366
786,粘接预装台位29号,13386,13388
787,进车台位1号,13389,13391
788,粘接预装台位33号,13411,13413
789,进车台位1号,13413,13416
790,粘接预装台位29号,13436,13438
791,粘接预装台位33号,13461,13465
792,模块化组装7号,13468,13469
793,普通组装2类(BC车)24号,13492,13493
794,粘接预装台位33号,13530,13531
795,进车台位1号,13533,13534
796,粘接预装台位29号,13554,13556
797,进车台位1号,13557,13559
798,粘接预装台位33号,13579,13581
799,进车台位1号,13581,13584
800,粘接预装台位29号,13604,13606
801,粘接预装台位33号,13629,13633
802,模块化组装7号,13636,13637
803,普通组装2类(BC车)12号,13660,13661
804,粘接预装台位33号,13698,13699
805,进车台位1号,13701,13702
806,粘接预装台位29号,13722,13724
807,进车台位1号,13725,13727
808,粘接预装台位33号,13747,13749
809,进车台位1号,13749,13752
